antecedent,consequent,antecedent_len,support,confidence,lift,leverage,conviction
LDL-C_<=3.1 + TG_>1.7,高血脂阳性,2,0.381294964028777,1.0,1.2930232558139536,0.0864085709849387,inf
TC_<=6.2 + TG_>1.7,高血脂阳性,2,0.3345323741007194,1.0,1.2930232558139536,0.0758112934113141,inf
LDL-C_<=3.1 + 高尿酸_是,高血脂阳性,2,0.33093525179856115,1.0,1.2930232558139536,0.07499611821334301,inf
HDL-C_1.04-1.55 + TG_>1.7,高血脂阳性,2,0.3273381294964029,1.0,1.2930232558139536,0.07418094301537187,inf
LDL-C_<=3.1 + TC_>6.2,高血脂阳性,2,0.32014388489208634,1.0,1.2930232558139536,0.07255059261942964,inf
HDL-C_1.04-1.55 + TC_>6.2,高血脂阳性,2,0.2949640287769784,1.0,1.2930232558139536,0.0668443662336318,inf
TG_>1.7 + 高尿酸_是,高血脂阳性,2,0.2949640287769784,1.0,1.2930232558139536,0.0668443662336318,inf
HDL-C_1.04-1.55 + 高尿酸_是,高血脂阳性,2,0.29136690647482016,1.0,1.2930232558139536,0.06602919103566068,inf
ADL总分_20-29 + TG_>1.7,高血脂阳性,2,0.2805755395683453,1.0,1.2930232558139536,0.06358366544174732,inf
TG_>1.7 + 吸烟史_无,高血脂阳性,2,0.2697841726618705,1.0,1.2930232558139536,0.06113813984783398,inf
TC_>6.2 + TG_<=1.7,高血脂阳性,2,0.26258992805755393,1.0,1.2930232558139536,0.059507789451891724,inf
TG_>1.7 + 性别_女,高血脂阳性,2,0.26258992805755393,1.0,1.2930232558139536,0.059507789451891724,inf
LDL-C_<=3.1 + TC_<=6.2 + TG_>1.7,高血脂阳性,3,0.25539568345323743,1.0,1.2930232558139536,0.0578774390559495,inf
TG_>1.7 + 性别_男,高血脂阳性,2,0.24820143884892087,1.0,1.2930232558139536,0.056247088660007244,inf
HDL-C_1.04-1.55 + LDL-C_<=3.1 + TG_>1.7,高血脂阳性,3,0.2446043165467626,1.0,1.2930232558139536,0.05543191346203613,inf
TG_>1.7 + 吸烟史_有,高血脂阳性,2,0.24100719424460432,1.0,1.2930232558139536,0.05461673826406502,inf
ADL总分_20-29 + 高尿酸_是,高血脂阳性,2,0.22661870503597123,1.0,1.2930232558139536,0.05135603747218054,inf
TC_>6.2 + 性别_男,高血脂阳性,2,0.22661870503597123,1.0,1.2930232558139536,0.05135603747218054,inf
LDL-C_<=3.1 + TG_>1.7 + 高尿酸_是,高血脂阳性,3,0.22661870503597123,1.0,1.2930232558139536,0.05135603747218054,inf
TC_>6.2 + 吸烟史_有,高血脂阳性,2,0.22302158273381295,1.0,1.2930232558139536,0.050540862274209425,inf
TC_>6.2 + 高尿酸_是,高血脂阳性,2,0.22302158273381295,1.0,1.2930232558139536,0.050540862274209425,inf
吸烟史_无 + 高尿酸_是,高血脂阳性,2,0.21942446043165467,1.0,1.2930232558139536,0.049725687076238284,inf
性别_男 + 高尿酸_是,高血脂阳性,2,0.21942446043165467,1.0,1.2930232558139536,0.049725687076238284,inf
HDL-C_1.04-1.55 + TC_<=6.2 + TG_>1.7,高血脂阳性,3,0.21942446043165467,1.0,1.2930232558139536,0.049725687076238284,inf
ADL总分_20-29 + TC_>6.2,高血脂阳性,2,0.2158273381294964,1.0,1.2930232558139536,0.04891051187826717,inf
TC_>6.2 + 吸烟史_无,高血脂阳性,2,0.2158273381294964,1.0,1.2930232558139536,0.04891051187826717,inf
TC_>6.2 + 高尿酸_否,高血脂阳性,2,0.2158273381294964,1.0,1.2930232558139536,0.04891051187826717,inf
TG_>1.7 + 高尿酸_否,高血脂阳性,2,0.2158273381294964,1.0,1.2930232558139536,0.04891051187826717,inf
HDL-C_1.04-1.55 + LDL-C_<=3.1 + 高尿酸_是,高血脂阳性,3,0.2158273381294964,1.0,1.2930232558139536,0.04891051187826717,inf
TC_>6.2 + 性别_女,高血脂阳性,2,0.21223021582733814,1.0,1.2930232558139536,0.04809533668029606,inf
吸烟史_有 + 高尿酸_是,高血脂阳性,2,0.21223021582733814,1.0,1.2930232558139536,0.04809533668029606,inf
性别_女 + 高尿酸_是,高血脂阳性,2,0.21223021582733814,1.0,1.2930232558139536,0.04809533668029606,inf
TC_<=6.2 + 高尿酸_是,高血脂阳性,2,0.20863309352517986,1.0,1.2930232558139536,0.047280161482324945,inf
ADL总分_20-29 + LDL-C_<=3.1 + TG_>1.7,高血脂阳性,3,0.20863309352517986,1.0,1.2930232558139536,0.047280161482324945,inf
HDL-C_1.04-1.55 + LDL-C_<=3.1 + TC_>6.2,高血脂阳性,3,0.20863309352517986,1.0,1.2930232558139536,0.047280161482324945,inf
TC_<=6.2 + TG_>1.7 + 高尿酸_是,高血脂阳性,3,0.20863309352517986,1.0,1.2930232558139536,0.047280161482324945,inf
TG_>1.7 + 痰湿质_<=58,高血脂阳性,2,0.20503597122302158,1.0,1.2930232558139536,0.04646498628435383,inf
ADL总分_20-29 + TC_<=6.2 + TG_>1.7,高血脂阳性,3,0.20503597122302158,1.0,1.2930232558139536,0.04646498628435383,inf
LDL-C_<=3.1 + TG_>1.7 + 吸烟史_无,高血脂阳性,3,0.20503597122302158,1.0,1.2930232558139536,0.04646498628435383,inf
LDL-C_<=3.1 + TG_>1.7 + 性别_女,高血脂阳性,3,0.19784172661870503,1.0,1.2930232558139536,0.04483463588841158,inf
LDL-C_<=3.1 + TC_>6.2 + TG_<=1.7,高血脂阳性,3,0.19424460431654678,1.0,1.2930232558139536,0.044019460690440465,inf
HDL-C_1.04-1.55 + TC_>6.2 + TG_<=1.7,高血脂阳性,3,0.18705035971223022,1.0,1.2930232558139536,0.04238911029449821,inf
HDL-C_1.04-1.55 + TG_>1.7 + 高尿酸_是,高血脂阳性,3,0.18705035971223022,1.0,1.2930232558139536,0.04238911029449821,inf
痰湿质_<=58 + 高尿酸_是,高血脂阳性,2,0.18345323741007194,1.0,1.2930232558139536,0.0415739350965271,inf
LDL-C_<=3.1 + TG_>1.7 + 性别_男,高血脂阳性,3,0.18345323741007194,1.0,1.2930232558139536,0.0415739350965271,inf
TC_<=6.2 + TG_>1.7 + 吸烟史_无,高血脂阳性,3,0.18345323741007194,1.0,1.2930232558139536,0.0415739350965271,inf
TC_>6.2 + TG_>1.7,高血脂阳性,2,0.17625899280575538,1.0,1.2930232558139536,0.03994358470058487,inf
HDL-C_1.04-1.55 + TG_>1.7 + 吸烟史_无,高血脂阳性,3,0.17625899280575538,1.0,1.2930232558139536,0.03994358470058487,inf
HDL-C_1.04-1.55 + TG_>1.7 + 性别_女,高血脂阳性,3,0.17625899280575538,1.0,1.2930232558139536,0.03994358470058487,inf
LDL-C_<=3.1 + TG_>1.7 + 吸烟史_有,高血脂阳性,3,0.17625899280575538,1.0,1.2930232558139536,0.03994358470058487,inf
LDL-C_<=3.1 + TC_>6.2 + 高尿酸_是,高血脂阳性,3,0.17266187050359713,1.0,1.2930232558139536,0.03912840950261373,inf
TC_<=6.2 + TG_>1.7 + 性别_女,高血脂阳性,3,0.17266187050359713,1.0,1.2930232558139536,0.03912840950261373,inf
ADL总分_20-29 + LDL-C_<=3.1 + 高尿酸_是,高血脂阳性,3,0.16906474820143885,1.0,1.2930232558139536,0.03831323430464262,inf
LDL-C_<=3.1 + TC_>6.2 + 吸烟史_有,高血脂阳性,3,0.16906474820143885,1.0,1.2930232558139536,0.03831323430464262,inf
LDL-C_<=3.1 + 吸烟史_无 + 高尿酸_是,高血脂阳性,3,0.16906474820143885,1.0,1.2930232558139536,0.03831323430464262,inf
LDL-C_<=3.1 + 性别_男 + 高尿酸_是,高血脂阳性,3,0.16906474820143885,1.0,1.2930232558139536,0.03831323430464262,inf
ADL总分_20-29 + HDL-C_1.04-1.55 + TG_>1.7,高血脂阳性,3,0.16546762589928057,1.0,1.2930232558139536,0.037498059106671505,inf
ADL总分_20-29 + LDL-C_<=3.1 + TC_>6.2,高血脂阳性,3,0.16546762589928057,1.0,1.2930232558139536,0.037498059106671505,inf
HDL-C_1.04-1.55 + LDL-C_<=3.1 + TC_<=6.2 + TG_>1.7,高血脂阳性,4,0.16546762589928057,1.0,1.2930232558139536,0.037498059106671505,inf
LDL-C_<=3.1 + TC_>6.2 + 性别_女,高血脂阳性,3,0.1618705035971223,1.0,1.2930232558139536,0.03668288390870039,inf
LDL-C_<=3.1 + 吸烟史_有 + 高尿酸_是,高血脂阳性,3,0.1618705035971223,1.0,1.2930232558139536,0.03668288390870039,inf
LDL-C_<=3.1 + 性别_女 + 高尿酸_是,高血脂阳性,3,0.1618705035971223,1.0,1.2930232558139536,0.03668288390870039,inf
TC_<=6.2 + TG_>1.7 + 性别_男,高血脂阳性,3,0.1618705035971223,1.0,1.2930232558139536,0.03668288390870039,inf
TG_>1.7 + 痰湿质_>=62,高血脂阳性,2,0.15827338129496402,1.0,1.2930232558139536,0.035867708710729265,inf
ADL总分_20-29 + TG_>1.7 + 吸烟史_无,高血脂阳性,3,0.15827338129496402,1.0,1.2930232558139536,0.035867708710729265,inf
HDL-C_1.04-1.55 + TC_>6.2 + 性别_女,高血脂阳性,3,0.15827338129496402,1.0,1.2930232558139536,0.035867708710729265,inf
HDL-C_1.04-1.55 + 吸烟史_无 + 高尿酸_是,高血脂阳性,3,0.15827338129496402,1.0,1.2930232558139536,0.035867708710729265,inf
LDL-C_<=3.1 + TC_<=6.2 + 高尿酸_是,高血脂阳性,3,0.15827338129496402,1.0,1.2930232558139536,0.035867708710729265,inf
LDL-C_<=3.1 + TC_>6.2 + 性别_男,高血脂阳性,3,0.15827338129496402,1.0,1.2930232558139536,0.035867708710729265,inf
LDL-C_<=3.1 + TG_>1.7 + 痰湿质_<=58,高血脂阳性,3,0.15827338129496402,1.0,1.2930232558139536,0.035867708710729265,inf
TG_>1.7 + 吸烟史_无 + 高尿酸_是,高血脂阳性,3,0.15827338129496402,1.0,1.2930232558139536,0.035867708710729265,inf
LDL-C_<=3.1 + TC_<=6.2 + TG_>1.7 + 高尿酸_是,高血脂阳性,4,0.15827338129496402,1.0,1.2930232558139536,0.035867708710729265,inf
HDL-C_1.04-1.55 + 性别_女 + 高尿酸_是,高血脂阳性,3,0.15467625899280577,1.0,1.2930232558139536,0.03505253351275815,inf
LDL-C_<=3.1 + TG_>1.7 + 高尿酸_否,高血脂阳性,3,0.15467625899280577,1.0,1.2930232558139536,0.03505253351275815,inf
TG_>1.7 + 性别_女 + 高尿酸_是,高血脂阳性,3,0.15467625899280577,1.0,1.2930232558139536,0.03505253351275815,inf
ADL总分_20-29 + LDL-C_<=3.1 + TC_<=6.2 + TG_>1.7,高血脂阳性,4,0.15467625899280577,1.0,1.2930232558139536,0.03505253351275815,inf
TC_>6.2 + 痰湿质_<=58,高血脂阳性,2,0.1510791366906475,1.0,1.2930232558139536,0.034237358314787025,inf
HDL-C_1.04-1.55 + TC_>6.2 + 高尿酸_是,高血脂阳性,3,0.1510791366906475,1.0,1.2930232558139536,0.034237358314787025,inf
HDL-C_1.04-1.55 + TG_>1.7 + 吸烟史_有,高血脂阳性,3,0.1510791366906475,1.0,1.2930232558139536,0.034237358314787025,inf
HDL-C_1.04-1.55 + TG_>1.7 + 性别_男,高血脂阳性,3,0.1510791366906475,1.0,1.2930232558139536,0.034237358314787025,inf
LDL-C_<=3.1 + TC_>6.2 + 吸烟史_无,高血脂阳性,3,0.1510791366906475,1.0,1.2930232558139536,0.034237358314787025,inf
TC_<=6.2 + TG_>1.7 + 吸烟史_有,高血脂阳性,3,0.1510791366906475,1.0,1.2930232558139536,0.034237358314787025,inf
TC_>6.2 + 痰湿质_59-61,高血脂阳性,2,0.1474820143884892,1.0,1.2930232558139536,0.0334221831168159,inf
TG_>1.7 + 痰湿质_59-61,高血脂阳性,2,0.1474820143884892,1.0,1.2930232558139536,0.0334221831168159,inf
ADL总分_20-29 + HDL-C_1.04-1.55 + 高尿酸_是,高血脂阳性,3,0.1474820143884892,1.0,1.2930232558139536,0.0334221831168159,inf
ADL总分_20-29 + TG_>1.7 + 性别_女,高血脂阳性,3,0.1474820143884892,1.0,1.2930232558139536,0.0334221831168159,inf
HDL-C_1.04-1.55 + TC_>6.2 + 吸烟史_无,高血脂阳性,3,0.1474820143884892,1.0,1.2930232558139536,0.0334221831168159,inf
